SN ,Root word ,Gloss   ,POS ,Syn 1 ,Syn 2 ,Syn 3 ,,
1,Araddaa ,Farming land ,Maqaa ,Kaloo ,Maasii ,Ooyruu ,,
2,Baatii ,Moon ,Maqaa ,Ji'a ,Bakkalcha,,,
3,Baay'ee ,Many ,Ibsa Xumuraa ,Danuu ,Hedduu,,,
4,Bakka ,Place ,Maqaa ,Iddoo ,Fuula,,,
5,Barbaaduu ,Searching ,Xumura ,Soquu ,Sakatta'uu,,,
6,Bareedaa ,Handsome ,Maqaa ,Miidhagaa ,Fuula Toleessa,,,
7,Barreessuu ,Writing ,Xumura ,Katabuu ,Qubeessuu,,,
8,Beekaa ,Expert ,Maqaa ,Ogeessa ,Hayyuu,,,
9,Beenyaa ,Earning ,Maqaa ,Gatii ,Dugda Baasa ,Bu'aa ,,
10,Bidiruu ,Ship ,Maqaa ,Doonii ,Oboloo,,,
11,Bohaartii ,Recreation ,Maqaa ,Bashannana ,Aara Galfii ,Mijuu,,
12,Buqushaa ,Vagina ,Maqaa ,Shooshoo ,Foshee ,Muxxee ,,
13,Caalaa ,Better ,Firoomsee ,Wayyaa ,Daran ,Filatamaa,,
14,Cinaa ,Near/Behind ,Firoomsee ,Bira ,Bukkee ,Maddii,,
15,Daawitii ,Mirror ,Maqaa ,Ofilaalee ,Fuullee,,,
16,Dagachuu ,Forgetting ,Ibsa Xumuraa ,Irraanfachuu ,Dedhuu,,,
17,Dargageessa ,Young Man ,Maqaa ,Qeerroo ,Saafela ,Konfolleessa,,
18,Deegaa ,Poor ,Maqaa ,Iyyeessa ,Dhabaa,,,
19,Deeggarsa ,Support/Help ,Maqaa ,Gargaarsa ,Hirpha ,Tumsa,,
20,Deemuu ,Going ,Ibsa Xumuraa ,Imaluu ,Sokkuu ,Dhaquu,,
21,Dhamaatee ,Effort ,Maqaa ,Ifaaja ,Dadhabbii,,,
22,Dhokachuu ,Hidden ,Xumura ,Miliquu ,Dheessuu ,Baduu,,
23,Dhukkuba ,Disease ,Maqaa ,Dhibee ,Michii ,Miidhama,,
24,Diida ,Outside ,Firoomsee ,Bakkee ,Ala ,Halaala,,
25,Diina ,Enemy ,Maqaa ,Seexana ,Nyaapha ,Jinnii,,
26,Dildila ,Bridge ,Maqaa ,Riqicha ,Ce'umsa,,,
27,Duwwaa ,Empty ,Ibsa Maqaa ,Qullaa ,Adiyyoo,,,
28,Eelaa ,Maqaa ,Ba'aa ,Miidhama ,Caba ,Godaannisa,,
29,Faaya ,Beauty ,Maqaa ,Bareedina ,Miidhagina,,,
30,Fiiguu ,Running ,Xumura ,Kaachuu ,Fulla'uu ,Arreeduu,,
31,Filaa ,Comb ,Maqaa ,Meedoo ,Mushuxii,,,
32,Fixuu ,Finishing ,Xumura ,Xumuruu ,Goolabuu,,,
33,Fokkisaa ,Ugly ,Ibsa Maqaa ,Bushaa'aa ,Jibbisiisaa,,,
34,Gaarii ,Good ,Ibsa Maqaa ,Bayeessa ,Dansa ,Misha ,,
35,Gaggeessaa ,Leader ,Maqaa ,Hoogganaa ,Dura Bu'aa ,Bulchaa,,
36,Galgala ,Night ,Maqaa ,Waarii ,Halkan,,,
37,Gamna ,,Ibsa Maqaa ,Qaruuxee,Abshaala ,,,
38,Gannee ,,Maqaa ,Bantii ,Waa'elka,Durba Duudaa ,,
39,Garraamii , ,Ibsa Maqaa ,Gara Laafessa ,Oo'a Qabeessa,Arjaa ,,
40,Goolaba ,Finish ,Ibsa Maqaa ,Xumura ,Dhuma,,,
41,Gowwaa ,,Ibsa Maqaa ,Doofaa,Daallee ,,,
42,Haadha ,Mother ,Maqaa ,Harmee ,Deessee,,,
43,Hallayyaa ,,Maqaa ,Hurufa,Qilee ,,,
44,Hanqaaquu ,Egg ,Maqaa ,Killee ,Buuphaa,,,
45,Hayyuu ,Expert ,Maqaa ,Ogeessa ,Beekaa ,Ilaaltuu,,
46,Hortee ,Species ,Maqaa ,Gosa ,Sanyii,,,
47,Ija ,Eye ,Maqaa ,Agartuu ,Qaroo,,,
48,Ilaaluu ,Seeing ,Ibsa Xumuraa ,Mil'achuu ,Arguu,,,
49,Iyyeessa ,Poor ,Maqaa ,Dhabeessa ,Harka Qalleessa ,Deegaa,,
50,Karaa ,Road ,Maqaa ,Daandii ,Deemsa ,Imala,,
51,Kolaa ,Maqaa ,Cinaan ,Gumguma ,Miciraan,,,
52,Koodee ,Brother/Sister ,Maqaa ,Obboleessa ,Obboleettii,,,
53,Liqii ,,Maqaa ,Gulbata,Ceegoo ,,,
54,Miilana ,,Ibsa Xumuraa ,Alana ,Booda,Dhiyoo ,,
55,Milkaa'uu ,Success ,Xumura ,Galma Ga'uu ,Injifachuu ,Luba Ba'uu ,,
56,Mulluu ,,Maqaa ,Affeellii,Shummoo ,,,
57,Mulquu ,,Maqaa ,Gatuu ,Dhisuu ,Dhaanuu,Baasuu ,
58,Muraasa ,Few ,Ibsa Xumuraa ,Xiqqoo ,Bicuu,,,
59,Niiraa ,Cent ,Maqaa ,Taamunii ,Dumbulloo,,,
60,Qaama ,Body ,Maqaa ,Nafa ,Dhaqna,,,
61,Qoosee ,Shoulder ,Maqaa ,Saggoo ,Qaceera,,,
62,Qorra ,Cold ,Maqaa ,Dilalla ,Qabbana,,,
63,Rakkoo ,Problem ,Maqaa ,Dhibee ,Miidhama ,Quuqama,,
64,Reebuu ,Hit/Beat ,Xumura ,Rukkutuu ,Dhaanuu,,,
65,Rifeensa ,Hair ,Maqaa ,Dabbassaa ,Qajjisa ,Shurrubbaa,,
66,Sakaale ,,Xumura ,Gudunfe,Xaxe ,,,
67,Sarbaa ,,Maqaa ,Gudeeda,Tafa ,,,
68,Seene ,Enter ,Xumura ,Lixe ,Gale,,,
69,Soba ,Lie ,Maqaa ,Dhara ,Kijiba,,,
70,Sokke ,Gone ,Xumura ,Kute ,Deeme ,Qajeele,,
71,Sooressa ,Rich ,Ibsa Maqaa ,Dureessa ,Badhaadhaa,,,
72,Tokkummaa ,Unity ,Maqaa ,Marabbaa ,Gamtaa,,,
73,Uffata ,Cloth ,Maqaa ,Wayyaa ,Huccuu ,Kafana,,
74,Uummata ,People ,Maqaa ,Saba ,Hawaasa,,,
75,Wayyaba ,More ,Maqaa ,Caalmaa ,Irra Jireessa,,,
76,Wiixata ,Monday ,Maqaa ,Dafinoo ,Hojja Duree,,,
77,Xiinxaluu ,Thinking ,Xumura ,Qorachuu ,Mirkaneessuu ,Madaaluu ,,
78,Xiqqaa ,Small ,Ibsa Maqaa ,Bicuu ,Xiqishuu,,,
79,Dhaggeeffate ,Listen ,Xumura ,Caqase ,Hordofe,,,
80,Daakuu ,Swimming ,Xumura ,Bulleessuu ,Dhukkeessuu,,,
81,Barii ,Morning ,Maqaa ,Ganama ,Subii ,Barraaqa ,,
82,Bukkee ,,Maqaa ,Luuxii,Middisa ,,,
83,Barreessuu ,Writing ,Maqaa ,Katabuu ,Quruu,,,
84,Laphee ,,Ibsa Maqaa ,Qoma,Onnee ,,,
85,Qaroo ,,Xumura ,Haxxee,Abshaala ,,,
86,Nadheen ,,Maqaa ,Elellee ,Dhalaa,Dubarttii ,,
87,Shakkee ,,Xumura ,Irra Galgale,Mame ,,,
88,Xomboree ,,Maqaa ,Tissee,Gubbitii ,,,
89,Kiyyoo ,,Maqaa ,Iskillaa ,Shaaraa,Xuruuraa ,,
90,Baangaa ,,Maqaa ,Qankooraa ,Mancaa,Sholee ,,
91,Dhibaa'aa ,,Ibsa Maqaa ,Seqqeeqa,Yaraa ,,,
92,Dabeessa ,,Ibsa Maqaa ,Sodataa,Daafanaa ,,,
93,Kukkute ,,Xumura ,Ciccire,Mummuree ,,,
94,Sanyoo ,,Maqaa ,Gaarayyuu ,Toltuu,Jaaltoo ,,
95,Jaala ,,Maqaa ,Shirkaa ,Michuu,Hirriyyaa ,,
96,Dubara ,,Maqaa ,Intala,Shamarra ,,,
97,Boone ,,Xumura ,Shoobe ,Forree,Koore ,,
98,Rifeensa ,,Maqaa ,Dabbasaa,Mataa ,,,
99,Bokkaa ,,Maqaa ,Sora,Rooba ,,,
100,Ejje ,,Xumura ,Sagaagale ,Yaabe,Dhaabbate ,,
101,Imoo ,,Maqaa ,Basuu,Dhalee ,,,
102,Soquu ,,Maqaa ,Sakatta'uu,Barbaaduu ,,,
103,Abbeeraa ,,Maqaa ,Eessuma ,Abbaa Xqqaa,Wasiila ,,
104,Manguddoo ,,Maqaa ,Buleessa,Jarsa ,,,
105,Balleesse ,,Xumura ,Dhabamsisee ,Duuge ,Dhidhimsise,Barbadeesse ,
106,Gugee ,,Maqaa ,Makoodii ,Bulaalla,Saphalisa ,,
107,Jaallate ,,Xumura ,Hawwe ,Barbaade ,Dharra'e,Fedhe ,
108,Boosettii ,,Ibsa Maqaa ,Kodheettii ,Addayyuu,Of Gattuu ,,
109,Irra ,,Firoomsee ,Gararraa ,Tabba Irra ,Ol,Gubbaa ,
110,Hunda ,,Ibsa Maqaa ,Danuu ,Cufa ,Duucha,Mara ,
